device_id,timestamp,aqi,pm,voc,pm_color,voc_color,aqi_color
D1903-01196,2022-04-26T21:45:00,0.44230533,0.013714089,0.0,0,0,0
D1903-01196,2022-04-26T21:50:00,0.44230533,0.0075899777,0.0,0,0,0
D1903-01196,2022-04-26T21:55:00,0.44230533,0.0057922546,0.0,0,0,0
D1903-01196,2022-04-26T22:00:00,0.44230533,0.01532739,0.0,0,0,0
D1903-01196,2022-04-26T22:05:00,0.44230533,0.012080862,0.00031301045,0,0,0
D1903-01196,2022-04-26T22:10:00,0.44230533,0.015234106,0.0,0,0,0
D1903-01196,2022-04-26T22:15:00,0.44230533,0.019797586,0.00031301045,0,0,0
D1903-01196,2022-04-26T22:20:00,0.44230533,0.011237021,0.0,0,0,0
D1903-01196,2022-04-26T22:25:00,0.44230533,0.011420624,0.00031301045,0,0,0
D1903-01196,2022-04-26T22:30:00,0.44230533,0.01535089,0.0,0,0,0
D1903-01196,2022-04-26T22:35:00,0.44230533,0.012590499,0.0,0,0,0
D1903-01196,2022-04-26T22:40:00,0.44230533,0.006766979,0.0,0,0,0
D1903-01196,2022-04-26T22:45:00,0.44230533,0.007167648,0.0,0,0,0
D1903-01196,2022-04-26T22:50:00,0.44230533,0.010933211,0.0,0,0,0
D1903-01196,2022-04-26T22:55:00,0.44230533,0.0075833364,0.0,0,0,0
D1903-01196,2022-04-26T23:00:00,0.44230533,0.0061786706,0.0,0,0,0
D1903-01196,2022-04-26T23:05:00,0.44230533,0.005932384,0.0,0,0,0
D1903-01196,2022-04-26T23:10:00,0.44230533,0.008402044,0.0037561255,0,0,0
D1903-01196,2022-04-26T23:15:00,0.44230533,0.02183434,0.004069136,0,0,0
D1903-01196,2022-04-26T23:20:00,0.44230533,0.005375442,0.0037561255,0,0,0
D1903-01196,2022-04-26T23:25:00,0.44230533,0.0053092856,0.0031301046,0,0,0
D1903-01196,2022-04-26T23:30:00,0.44230533,0.008534612,0.0031301046,0,0,0
D1903-01196,2022-04-26T23:35:00,0.44230533,0.012952699,0.0018780627,0,0,0
D1903-01196,2022-04-26T23:40:00,0.44230533,0.0063278424,0.00031301045,0,0,0
D1903-01196,2022-04-26T23:45:00,0.44230533,0.0017603451,0.0,0,0,0
D1903-01196,2022-04-27T01:30:00,0.43251276,0.00981851,0.022652242,0,0,0
D1903-01196,2022-04-27T01:35:00,0.43251276,0.004703608,0.0042715655,0,0,0
D1903-01196,2022-04-27T01:40:00,0.43251276,0.011230214,0.0007766483,0,0,0
D1903-01196,2022-04-27T01:45:00,0.43251276,0.016126394,0.0,0,0,0
D1903-01196,2022-04-27T01:50:00,0.43251276,0.009854598,0.00038832414,0,0,0
D1903-01196,2022-04-27T01:55:00,0.43251276,0.016906211,0.0,0,0,0
D1903-01196,2022-04-27T02:00:00,0.43251276,0.004091199,0.0,0,0,0
D1903-01196,2022-04-27T02:05:00,0.43251276,0.0086406665,0.00038832414,0,0,0
D1903-01196,2022-04-27T02:10:00,0.43251276,0.0076305517,0.00038832414,0,0,0
D1903-01196,2022-04-27T02:15:00,0.43251276,0.005653515,0.0,0,0,0
D1903-01196,2022-04-27T02:20:00,0.43251276,0.0071420525,0.0019416207,0,0,0
D1903-01196,2022-04-27T02:25:00,0.43251276,0.007301611,0.0007766483,0,0,0
D1903-01196,2022-04-27T02:30:00,0.43251276,0.005851558,0.0,0,0,0
D1903-01196,2022-04-27T02:35:00,0.43251276,0.0069201086,0.0,0,0,0
D1903-01196,2022-04-27T02:40:00,0.43251276,0.019869614,0.0,0,0,0
D1903-01196,2022-04-27T02:45:00,0.43251276,0.007415393,0.0,0,0,0
D1903-01196,2022-04-27T02:50:00,0.43251276,0.009680354,0.0,0,0,0
D1903-01196,2022-04-27T02:55:00,0.43251276,0.010680949,0.0,0,0,0
D1903-01196,2022-04-27T03:00:00,0.43251276,0.0069461362,0.0,0,0,0
D1903-01196,2022-04-27T03:05:00,0.43251276,0.011478742,0.0,0,0,0
D1903-01196,2022-04-27T03:10:00,0.43251276,0.01953323,0.0,0,0,0
D1903-01196,2022-04-27T03:15:00,0.43251276,0.011460816,0.0,0,0,0
D1903-01196,2022-04-27T03:20:00,0.43251276,0.009420786,0.0,0,0,0
D1903-01196,2022-04-27T03:25:00,0.43251276,0.008375174,0.00038832414,0,0,0
D1903-01196,2022-04-27T03:30:00,0.43251276,0.009594018,0.0,0,0,0
D1903-01196,2022-04-27T03:35:00,0.43251276,0.016411787,0.00038832414,0,0,0
D1903-01196,2022-04-27T03:40:00,0.43251276,0.013818443,0.0,0,0,0
D1903-01196,2022-04-27T19:45:00,0.43251276,0.006629703,0.291536,0,2,2
D1903-01196,2022-04-27T19:50:00,0.43251276,0.012369656,0.16905351,0,0,1
D1903-01196,2022-04-27T19:55:00,0.43251276,0.02490986,0.08659628,0,0,0
D1903-01196,2022-04-27T20:00:00,0.43251276,0.019086912,0.07222829,0,0,0
D1903-01196,2022-04-27T20:05:00,0.43251276,0.01297766,0.06368516,0,0,0
D1903-01196,2022-04-27T20:10:00,0.43251276,0.0106605925,0.056307,0,0,0
D1903-01196,2022-04-27T20:15:00,0.43251276,0.015545888,0.050093815,0,0,0
D1903-01196,2022-04-27T20:20:00,0.43251276,0.017298296,0.0450456,0,0,0
D1903-01196,2022-04-27T20:25:00,0.43251276,0.016684571,0.039997388,0,0,0
D1903-01196,2022-04-27T20:30:00,0.43251276,0.012966469,0.036114145,0,0,0
D1903-01196,2022-04-27T20:35:00,0.43251276,0.015327691,0.031065932,0,0,0
D1903-01196,2022-04-27T20:40:00,0.43251276,0.02224552,0.027959337,0,0,0
D1903-01196,2022-04-27T20:45:00,0.43251276,0.011905362,0.027182689,0,0,0
D1903-01196,2022-04-27T20:50:00,0.43251276,0.031769205,0.024464421,0,0,0
D1903-01196,2022-04-27T20:55:00,0.43251276,0.026750933,0.021746151,0,0,0
D1903-01196,2022-04-27T21:00:00,0.43251276,0.012856333,0.020192856,0,0,0
D1903-01196,2022-04-27T21:05:00,0.43251276,0.020431994,0.018639559,0,0,0
D1903-01196,2022-04-27T21:10:00,0.43251276,0.023160083,0.017474586,0,0,0
D1903-01196,2022-04-27T21:15:00,0.43251276,0.020368898,0.016309613,0,0,0
D1903-01196,2022-04-27T21:20:00,0.43251276,0.018369582,0.01592129,0,0,0
D1903-01196,2022-04-27T21:25:00,0.43251276,0.018289119,0.014367993,0,0,0
D1903-01196,2022-04-27T21:30:00,0.43251276,0.030721515,0.013979669,0,0,0
D1903-01196,2022-04-27T21:35:00,0.43251276,0.022147892,0.014756317,0,0,0
D1903-01196,2022-04-27T21:40:00,0.43251276,0.027445123,0.0135913445,0,0,0
D1903-01196,2022-04-27T21:45:00,0.43251276,0.02111332,0.0135913445,0,0,0
D1903-01196,2022-04-27T21:50:00,0.43251276,0.025753934,0.012426373,0,0,0
D1903-01196,2022-04-27T21:55:00,0.43251276,0.017231962,0.010484751,0,0,0
D1903-01196,2022-04-27T22:00:00,0.43251276,0.020916138,0.013203021,0,0,0
D1903-01196,2022-04-27T22:05:00,0.43251276,0.015064883,0.014756317,0,0,0
D1903-01196,2022-04-27T22:10:00,0.43251276,0.024429563,0.015532966,0,0,0
D1903-01196,2022-04-27T22:15:00,0.43251276,0.020594083,0.015532966,0,0,0
D1903-01196,2022-04-27T22:20:00,0.43251276,0.014109609,0.01592129,0,0,0
D1903-01196,2022-04-27T22:25:00,0.43251276,0.019972915,0.015532966,0,0,0
D1903-01196,2022-04-27T22:30:00,0.43251276,0.012519138,0.01592129,0,0,0
D1903-01196,2022-04-27T22:35:00,0.43251276,0.015902527,0.015532966,0,0,0
D1903-01196,2022-04-27T22:40:00,0.43251276,0.017778289,0.016309613,0,0,0
D1903-01196,2022-04-27T22:45:00,0.43251276,0.030397285,0.016697938,0,0,0
D1903-01196,2022-04-27T22:50:00,0.43251276,0.020955482,0.017086262,0,0,0
D1903-01196,2022-04-27T22:55:00,0.43251276,0.022453083,0.017086262,0,0,0
D1903-01196,2022-04-27T23:00:00,0.43251276,0.026770886,0.018251235,0,0,0
D1903-01196,2022-04-27T23:05:00,0.43251276,0.030275702,0.020192856,0,0,0
D1903-01196,2022-04-27T23:10:00,0.43251276,0.03184592,0.02058118,0,0,0
D1903-01196,2022-04-27T23:15:00,0.43251276,0.025437957,0.020969503,0,0,0
D1903-01196,2022-04-27T23:20:00,0.43251276,0.016809646,0.02058118,0,0,0
D1903-01196,2022-04-27T23:25:00,0.43251276,0.022301931,0.022134475,0,0,0
D1903-01196,2022-04-27T23:30:00,0.43251276,0.022879906,0.022134475,0,0,0
D1903-01196,2022-04-27T23:35:00,0.43251276,0.01675364,0.023687772,0,0,0
D1903-01196,2022-04-27T23:40:00,0.43251276,0.020763263,0.023687772,0,0,0
D1903-01196,2022-04-27T23:45:00,0.43251276,0.019131878,0.024852745,0,0,0
D1903-01196,2022-04-27T23:50:00,0.43251276,0.019324046,0.02524107,0,0,0
D1903-01196,2022-04-27T23:55:00,0.43251276,0.01390802,0.024852745,0,0,0
D1903-01196,2022-04-28T00:00:00,0.42107534,0.03171806,0.040655866,0,0,0
D1903-01196,2022-04-28T00:05:00,0.42107534,0.03076965,0.045321293,0,0,0
D1903-01196,2022-04-28T00:10:00,0.42107534,0.02414909,0.047987252,0,0,0
D1903-01196,2022-04-28T00:15:00,0.42107534,0.024769116,0.04998672,0,0,0
D1903-01196,2022-04-28T00:20:00,0.42107534,0.018696396,0.05331917,0,0,0
D1903-01196,2022-04-28T00:25:00,0.42107534,0.015497649,0.05465215,0,0,0
D1903-01196,2022-04-28T00:30:00,0.42107534,0.01630736,0.055985127,0,0,0
D1903-01196,2022-04-28T00:35:00,0.42107534,0.015567928,0.059984066,0,0,0
D1903-01196,2022-04-28T00:40:00,0.42107534,0.023495262,0.058651086,0,0,0
D1903-01196,2022-04-28T00:45:00,0.42107534,0.019707035,0.060650557,0,0,0
D1903-01196,2022-04-28T00:50:00,0.42107534,0.022123214,0.059984066,0,0,0
D1903-01196,2022-04-28T00:55:00,0.42107534,0.0208474,0.062650025,0,0,0
D1903-01196,2022-04-28T01:00:00,0.42107534,0.02356673,0.06331652,0,0,0
D1903-01196,2022-04-28T01:05:00,0.42107534,0.016475627,0.065315984,0,0,0
D1903-01196,2022-04-28T01:10:00,0.42107534,0.016249979,0.06664896,0,0,0
D1903-01196,2022-04-28T01:15:00,0.42107534,0.021052202,0.06731545,0,0,0
D1903-01196,2022-04-28T01:20:00,0.42107534,0.017646538,0.06998141,0,0,0
D1903-01196,2022-04-28T01:25:00,0.42107534,0.015285417,0.06931492,0,0,0
D1903-01196,2022-04-28T01:30:00,0.42107534,0.025122268,0.0706479,0,0,0
D1903-01196,2022-04-28T01:35:00,0.42107534,0.013857021,0.0706479,0,0,0
D1903-01196,2022-04-28T01:40:00,0.42107534,0.019656725,0.06998141,0,0,0
D1903-01196,2022-04-28T01:45:00,0.42107534,0.013711199,0.0706479,0,0,0
D1903-01196,2022-04-28T01:50:00,0.42107534,0.013143081,0.07131439,0,0,0
D1903-01196,2022-04-28T01:55:00,0.42107534,0.008940349,0.0706479,0,0,0
D1903-01196,2022-04-28T02:00:00,0.42107534,0.014330195,0.065982476,0,0,0
D1903-01196,2022-04-28T02:05:00,0.42107534,0.011447293,0.061317045,0,0,0
D1903-01196,2022-04-28T02:10:00,0.42107534,0.008485047,0.057762433,0,0,0
D1903-01196,2022-04-28T02:55:00,0.42107534,0.0019515187,0.0,0,0,0
D1903-01196,2022-04-28T03:00:00,0.42107534,0.016288938,0.0,0,0,0
D1903-01196,2022-04-28T03:05:00,0.42107534,0.018571058,0.0,0,0,0
D1903-01196,2022-04-28T03:10:00,0.42107534,0.012992925,0.0,0,0,0
D1903-01196,2022-04-28T03:15:00,0.42107534,0.011391152,0.0,0,0,0
D1903-01196,2022-04-28T03:20:00,0.42107534,0.014649961,0.00066648965,0,0,0
D1903-01196,2022-04-28T03:25:00,0.42107534,0.012213607,0.0,0,0,0
D1903-01196,2022-04-28T03:30:00,0.42107534,0.013218095,0.0,0,0,0
D1903-01196,2022-04-28T04:15:00,0.42107534,0.015909676,0.01666224,0,0,0
D1903-01196,2022-04-28T04:20:00,0.42107534,0.014324312,0.0066648964,0,0,0
D1903-01196,2022-04-28T04:25:00,0.42107534,0.012583529,0.0033324482,0,0,0
D1903-01196,2022-04-28T04:30:00,0.42107534,0.0065380516,0.00066648965,0,0,0
D1903-01196,2022-04-28T04:35:00,0.42107534,0.011109776,0.0,0,0,0
D1903-01196,2022-04-28T04:40:00,0.42107534,0.01497659,0.0,0,0,0
D1903-01196,2022-04-28T04:45:00,0.42107534,0.0099175535,0.0,0,0,0
D1903-01196,2022-04-28T04:50:00,0.42107534,0.018953932,0.0,0,0,0
D1903-01196,2022-04-28T04:55:00,0.42107534,0.013268419,0.0,0,0,0
D1903-01196,2022-04-28T05:00:00,0.42107534,0.0100491345,0.0,0,0,0
D1903-01196,2022-04-28T05:05:00,0.42107534,0.01621422,0.0,0,0,0
D1903-01196,2022-04-28T05:10:00,0.42107534,0.017584411,0.0,0,0,0
D1903-01196,2022-04-28T05:15:00,0.42107534,0.014060223,0.0,0,0,0
D1903-01196,2022-04-28T05:20:00,0.42107534,0.013421155,0.00066648965,0,0,0
D1903-01196,2022-04-28T05:25:00,0.42107534,0.012591217,0.0073313857,0,0,0
D1903-01196,2022-04-28T05:30:00,0.42107534,0.010337837,0.0066648964,0,0,0
D1903-01196,2022-04-28T05:35:00,0.42107534,0.011280624,0.0066648964,0,0,0
D1903-01196,2022-04-28T05:40:00,0.42107534,0.007860616,0.0026659586,0,0,0
D1903-01196,2022-04-28T05:45:00,0.42107534,0.009090764,0.0,0,0,0
D1903-01196,2022-04-28T05:50:00,0.42107534,0.012061627,0.0033324482,0,0,0
D1903-01196,2022-04-28T16:30:00,0.42107534,0.0013356706,0.1764958,0,0,1
D1903-01196,2022-04-28T16:35:00,0.42107534,0.020626655,0.07331386,0,0,0
D1903-01196,2022-04-28T16:40:00,0.42107534,0.026483689,0.046654273,0,0,0
D1903-01196,2022-04-28T16:45:00,0.42107534,0.036129206,0.03665693,0,0,0
D1903-01196,2022-04-28T16:50:00,0.42107534,0.029922737,0.031325012,0,0,0
D1903-01196,2022-04-28T16:55:00,0.42107534,0.02039564,0.029992033,0,0,0
